Equipment_Type	Delayed pct	median Delay	mean Delay	Occurrences
F100	0.0			2
BALL	0.0			1
RV7	0.0			1
SU95	0.0			1
DIMO	0.0			1
MD82	0.0			2
AS3B	0.0			1
E75L	4.83	21.0	24.92	1035
CRJ7	7.89	24.0	23.33	38
A359	8.42	22.5	26.04	285
B737	10.71	20.0	24.06	8002
E170	13.16	19.0	23.64	418
E190	13.17	22.0	25.44	7586
E75S	13.34	23.0	26.38	1589
B772	14.1	20.0	23.75	1014
B738	15.8	22.0	25.96	37649
A21N	15.89	22.0	24.98	1983
B736	16.55	21.0	25.75	695
CRJ9	16.99	22.0	26.01	5797
A332	17.21	22.0	25.34	1203
A319	17.24	21.0	24.6	13987
A20N	17.46	22.0	25.46	18386
A333	19.14	29.5	28.68	209
B788	19.52	23.0	25.98	922
A320	19.94	22.0	25.42	40376
B739	20.5	20.0	24.5	1249
B789	21.54	27.0	28.74	557
B77W	22.28	22.0	25.76	570
A346	23.64	23.0	25.72	935
CRJX	23.92	22.0	26.2	811
A321	25.02	23.0	25.93	19792
B77L	25.35	22.0	27.28	142
E195	26.33	23.0	26.74	8919
B38M	26.72	26.0	28.29	1789
B734	39.7	24.0	27.65	1272
A35K	41.94	19.0	23.46	31
B763	44.0	29.5	30.77	50
B735	45.83	22.0	24.45	24
DH8D	52.08	21.0	27.36	48
B733	55.06	26.0	27.12	89
PELI	66.67	20.0	20.0	3
A343	66.67	42.0	42.0	3
B752	76.6	32.0	32.92	47
AT72	100.0	20.0	20.0	1
T6	100.0	30.0	30.0	1
