Flight	Delayed pct	median Delay	mean Delay	Occurrences
DY3308	0.0			22
VY1027	0.0			64
IB3061	0.0			42
IB3060	0.0			42
IB3455	0.0			44
DY3224	0.0			12
IB3454	0.0			44
VY1016	0.0			79
LO300	0.0			35
DY3195	0.0			15
DY3223	0.0			12
DY3194	0.0			15
U27922	0.0			10
VY1028	1.56	32.0	32.0	64
IB1900	1.69	18.5	18.5	118
SK400	1.99	19.0	20.12	402
LO299	2.86	13.0	13.0	35
LH865	2.93	21.0	22.5	957
IB935	2.94	20.0	20.0	102
LH833	3.39	18.5	23.16	945
IB2105	3.42	20.0	19.75	117
KL1698	4.05	22.0	27.27	814
LH1353	4.18	24.0	27.41	932
LH921	4.35	18.0	24.08	919
DY3309	4.55	20.0	20.0	22
KL1000	4.76	25.0	28.51	903
SK1461	4.87	17.0	19.57	903
KL1124	5.87	21.0	22.68	971
KL1662	6.34	20.0	25.05	962
IB8710	6.36	27.0	27.91	173
LH809	6.62	19.0	22.89	982
SK401	6.64	17.0	21.52	467
FR6875	6.65	22.0	24.98	933
UX1518	6.98	22.0	25.09	917
SK844	6.98	18.0	20.1	559
SK635	7.38	23.0	26.72	813
VY1017	7.41	23.0	25.17	81
UX1503	7.56	22.0	25.05	847
KL1140	8.17	22.5	25.0	979
KL1763	8.23	22.0	25.41	887
DY812	8.5	23.5	26.5	682
UX1506	8.86	21.5	26.91	903
KL1127	8.96	18.0	22.31	1072
KL1701	8.98	21.0	24.78	1025
LH2440	9.0	18.0	23.09	867
EI602	9.02	19.0	23.2	1031
UX7706	9.04	20.5	24.88	376
U27921	9.09	12.0	12.0	11
KL1125	9.49	18.5	22.77	864
IB730	10.01	16.0	20.43	689
FR3100	10.03	29.5	31.11	917
UX7701	10.14	19.5	24.81	355
KL1143	10.15	18.0	22.45	1064
KL1008	10.22	22.0	25.88	783
KL1702	10.3	23.0	27.63	1019
KL1762	10.39	23.0	25.47	943
FR7256	10.41	20.0	26.06	932
BA846	10.44	19.0	22.28	833
SK1462	10.64	17.5	21.32	902
LH807	10.93	21.0	24.54	1025
KL1134	11.02	20.0	25.59	889
BA423	11.03	20.0	24.74	834
KL939	11.76	20.0	21.93	850
KL1775	11.89	23.0	26.5	925
KL932	11.89	24.5	27.81	925
KL1764	11.94	25.0	27.53	896
LH2421	11.95	17.0	21.22	887
KL1144	12.06	23.0	27.12	1061
IB8711	12.2	18.0	20.5	164
SK1455	12.21	22.0	25.59	917
LH808	12.31	16.0	16.86	853
SK1456	12.39	22.0	24.18	581
LH986	12.52	20.0	24.98	751
BA904	12.59	21.0	24.29	659
BA459	12.64	21.5	24.18	918
KL1139	12.64	21.0	24.0	965
BA478	12.65	19.0	22.31	854
UX1502	12.75	23.0	25.95	847
KL1033	13.01	24.0	28.36	930
KL1771	13.02	20.5	23.83	461
LH2441	13.03	18.5	23.35	875
KL1151	13.07	21.0	25.3	972
SK1635	13.22	22.0	27.06	900
UX1509	13.33	26.5	29.03	885
KL1772	13.35	24.0	27.14	472
IB3162	14.21	22.0	24.13	943
BA430	14.29	24.0	27.09	973
LO279	14.29	23.0	26.26	917
SK2657	14.37	22.5	25.33	863
KL1126	14.45	23.0	26.05	886
KL1007	14.49	21.0	23.67	780
SK1470	14.49	22.0	25.64	766
KL1146	14.55	19.5	21.6	481
LO381	14.6	21.5	24.89	904
SK810	14.6	19.5	23.77	863
IB3193	14.82	20.0	23.91	850
BA458	14.88	18.0	21.82	914
LH976	14.88	18.0	21.48	867
EI154	14.91	20.0	22.62	1013
SK847	15.03	24.0	25.97	599
SK2751	15.04	19.0	22.45	665
LO457	15.09	21.5	25.39	875
KL1707	15.1	18.0	20.02	828
BA828	15.11	23.0	26.06	827
FR3007	15.18	14.0	16.7	303
LH1351	15.45	24.0	27.85	887
DY4251	15.53	24.0	27.5	103
VY8300	15.7	24.5	27.9	917
BA461	15.78	23.0	25.93	919
LH1800	15.9	20.0	23.93	868
LO463	16.0	31.5	31.62	900
KL1145	16.08	18.0	21.55	479
SK406	16.09	21.0	24.21	696
DY1156	16.12	22.5	25.94	645
BA766	16.34	21.0	24.55	863
IB3166	16.42	21.0	24.1	956
LH900	16.48	20.0	24.42	1001
SK1549	16.54	22.0	25.83	792
IB3192	16.71	18.0	23.1	850
BA460	16.74	19.0	23.34	908
LO464	16.8	28.0	30.15	905
BA847	16.98	24.0	26.94	842
LH977	17.03	20.0	24.01	869
LH922	17.22	22.0	23.3	900
BA912	17.26	22.0	26.62	678
LH2453	17.3	21.0	24.28	873
BA827	17.31	23.0	26.84	861
SK809	17.35	20.5	24.01	876
UX1091	17.44	25.0	26.96	906
LO458	17.58	22.5	27.58	876
SK484	17.81	19.0	24.47	629
LH2452	18.11	21.0	24.47	856
UX1517	18.14	20.0	25.29	904
EI155	18.24	22.0	24.6	1036
BA440	18.29	23.0	25.59	913
SK553	18.4	22.0	26.17	750
SK554	18.48	23.0	26.89	763
SK1469	18.55	21.0	24.09	922
BA767	18.62	26.5	29.25	870
LO351	18.69	20.0	23.64	904
EI603	18.89	23.0	25.91	1027
EI179	18.94	27.0	29.67	961
SK2752	18.95	22.0	24.98	665
LH829	19.12	24.0	26.21	1004
DY940	19.38	22.0	24.63	841
SK489	19.39	20.0	23.23	495
IB3175	19.86	20.0	26.48	589
LH864	19.89	19.0	22.94	915
BA480	20.18	22.0	25.41	902
SK1636	20.58	22.0	26.95	904
LH832	20.59	21.0	24.25	942
LO352	20.75	23.0	26.69	911
KL1673	20.87	23.0	26.62	944
ET714	20.97	23.0	26.83	720
SK2658	21.29	24.0	26.79	869
LH2420	21.31	22.5	25.49	854
LH2455	21.51	23.0	25.88	874
KL1674	21.52	25.0	27.27	934
BA475	21.54	25.0	28.3	896
BA477	21.72	22.0	25.64	815
LH987	21.78	21.0	24.88	776
UX1098	21.95	23.0	26.64	902
LH901	22.17	20.0	23.12	1006
LH914	22.66	23.0	25.01	896
EI178	22.72	25.0	26.97	801
KL1681	22.83	22.0	26.47	898
LH1112	22.91	19.0	22.74	956
KL935	22.99	25.0	28.73	935
BA905	23.03	23.0	25.25	660
LH2416	23.06	19.5	23.88	954
BA913	23.56	25.0	27.61	624
LO462	23.56	27.0	29.88	904
DY817	23.63	20.0	25.83	584
BA431	23.73	22.0	25.16	986
SK897	23.84	20.0	25.75	432
LH2442	23.88	21.0	24.2	917
KL936	24.0	25.0	27.88	929
BA824	24.01	19.0	23.28	758
SK407	24.34	20.0	23.96	793
BA823	24.48	25.0	27.42	429
SK1550	24.69	23.0	26.46	806
IB3167	24.73	26.0	27.8	554
LO280	24.81	23.0	26.33	911
VY1872	24.89	26.0	28.79	884
LO484	24.92	25.0	27.3	638
BA850	25.03	22.0	25.4	831
EI164	25.1	23.0	26.14	510
LH1815	25.27	24.0	26.68	942
LH1804	25.32	22.0	26.12	849
LH828	25.35	21.0	23.87	1002
BA851	25.36	22.0	26.65	844
SK535	25.59	20.0	23.72	844
DY941	25.76	21.0	26.18	827
LH806	26.04	22.0	24.7	1014
FR7257	26.09	22.0	25.84	943
SK2636	26.13	20.0	23.47	819
LH908	26.28	23.5	26.68	974
SK2659	26.31	22.0	24.14	726
SK536	26.32	23.0	26.6	832
LH1814	26.71	22.5	24.86	936
BA463	26.88	23.0	26.2	770
LH909	27.08	25.0	27.55	975
LO281	27.28	25.0	27.85	898
FR3101	27.3	21.0	25.48	956
LH915	27.97	24.0	27.49	901
EI165	28.06	25.5	28.06	506
LO354	28.11	23.0	27.21	907
LO353	28.13	21.0	24.34	910
LH1352	28.78	21.5	24.69	945
LH980	28.99	20.0	23.36	928
LH2454	29.11	21.0	25.07	869
LH2443	29.42	22.0	26.27	911
LH2417	29.57	22.0	25.28	957
LH981	29.61	21.0	24.49	922
SK1427	29.81	19.0	24.05	738
HV5136	30.22	26.0	28.59	407
LH1113	30.45	21.0	25.29	972
LH1805	30.51	22.0	25.92	862
BA462	30.52	21.0	24.4	770
LO461	30.61	24.0	26.96	895
HV5135	31.18	22.0	26.42	433
VY1873	31.62	27.0	29.57	876
LH1613	31.89	22.0	25.33	878
LH1801	32.22	21.0	24.33	869
SK2660	34.05	21.0	24.44	699
FR3006	35.14	23.0	27.78	498
VY8301	35.4	25.0	27.44	918
LH1612	36.12	21.0	24.28	886
LO382	36.49	23.0	26.11	918
DY1157	36.89	24.0	26.77	637
VY8720	37.74	25.0	27.52	689
LH1348	39.65	20.0	23.29	961
LO483	40.34	24.0	26.69	642
DY4252	41.67	27.0	28.28	96
LO282	41.77	29.0	30.22	924
VY8721	48.54	28.0	30.32	686
ET715	70.83	25.0	29.59	24
SK1428	96.82	47.0	46.11	157
